"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,89,"GRC","Greece",1,"Aegean","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+0391><U+03B9><U+03B3>a<U+03AF><U+03BF>",""
2,89,"GRC","Greece",2,"Athos","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+0386><U+03B8><U+03C9><U+03C2>",""
3,89,"GRC","Greece",3,"Attica","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+0391>tt<U+03B9><U+03BA><U+03AE>",""
4,89,"GRC","Greece",4,"Crete","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+039A><U+03C1><U+03AE>t<U+03B7>",""
5,89,"GRC","Greece",5,"Epirus and Western Macedonia","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+0389>pe<U+03B9><U+03C1><U+03BF><U+03C2> <U+03BA>a<U+03B9> <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a",""
6,89,"GRC","Greece",6,"Macedonia and Thrace","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+039C>a<U+03BA>ed<U+03BF><U+03BD><U+03AF>a <U+03BA>a<U+03B9> T<U+03C1><U+03AC><U+03BA><U+03B7>",""
7,89,"GRC","Greece",7,"Peloponnese, Western Greece and the Ionian Islands","",NA,"","Apokentroménes dioikíseis","Decentralized administration","<U+03A0>e<U+03BB><U+03BF>p<U+03CC><U+03BD><U+03BD><U+03B7>s<U+03BF><U+03C2>, <U+0394><U+03C5>t<U+03B9><U+03BA><U+03AE> <U+0395><U+03BB><U+03BB><U+03AC>da <U+03BA>a<U+03B9> <U+0399><U+03CC><U+03BD><U+03B9>a <U+03BD><U+03B7>s<U+03B9><U+03AC>",""
8,89,"GRC","Greece",8,"Thessaly and Central Greece","",NA,"","Apokentroménes dioikíseis","Decentralized administration","Tessa<U+03BB><U+03AF>a <U+03BA>a<U+03B9> Ste<U+03C1>e<U+03AC> <U+0395><U+03BB><U+03BB><U+03AC>da",""
